Account,Token Account,Quantity,Percentage
BEpkoGChmKStEhi5RzfPd83tAr3zguyMKhBswJ7AXyiK,7BmEb1UCsAK7nTBNYHjiPKBAbfJVpLMGGjWR9JCZnsSG,504.00,0.01
5RRzt5impbDhzGepEZj44JqTu7o6NmXNRKSM4rSQPX1z,B3e8cef3rYAGYau9S4hViHrfV3Cmx8ZZSztXrHwWQPrB,501.88,0.01
B86g7Y3XnE4rV6dpSqRUDtWVxCVPMEakzNWMjjR1yGpi,2zWZGfKuzjuZigHVn9tJo4ogNAjYiiTkxsq6rXG63WG3,500.00,0.01
3H7EcPm6XKNpchoQx51AwG8x7ShK8Msm6F7Q4dpd1Adn,4PP2Hg5hHnn1irbffYwTHuDTbouNBFPDPUEtn5Bev2U1,500.00,0.01
AnPGivgyhuZ2T8RVA5LHsyqEQqusUnrbi95sfGkCXwQg,6iw5VkJe4fwcPepxPPucTciCU7kZy1dLvC3oyaT485Vq,500.00,0.01
G32AABr9XXGnyroC5uGJUby7MN6BTsRzgyFYRT21DWam,4snfEPgwi7AYNmJbHH9fLLd86j6i2bHtkZrwfP14D1U8,500.00,0.01
ZXSy6BBL9kyRJp4JTGqBZQUjx3bHJTAn5tTQvBPU6Hy,EBG8chSFRNEKsGpWUenQRfrwJVu5EMu9GwtYHdgMfG5c,500.00,0.01
GLRsLZnPUx42mQnbPcsY4MrEwYnmon8UAjwiiiafRfka,A2ZSmLyCtEEx36JpfFTWUeKTGTbDBmzMxAyRMLY4bEFR,500.00,0.01
9RxFWo8xPr2is6mbKgXoPS82ENJoz7PDH395gN6u14z2,HZrrKAWtF9bXek9qCbQTrijPPAjdHsxmAk2Cve75aeLS,500.00,0.01
J4VQZL71uCNSCUHTkJtGRPGtmpi6ZztGTmCZMXvxhkHw,9wM5kZfVwZ7Sr4rirXt6ZxCDuizsoreV39gwxbsuEx7r,500.00,0.01
5rmnix8Y4jEDV4CqSMmg4nkqNdRACmd3crAfdPJ7gGke,5mo8MpDETrmg1XSq7KHFYvxPQ1ySh5V7Jnmd77vAMmdN,500.00,0.01
HbmuRzYnpG317EDwHU9iBSQkqpetTzPcUC4vvuHFnmZT,2B83ZJestbWaQ9mZdpfCD46CcAgHuHUb84sJgDdREfFb,475.00,0.00
4rvYDQXSwkVuiA7Fj3Mf4S5iX9TybuCS56vfBgdryeKR,6uTqVsdF8jri9ARjEPgPwHDoX5FrqyJFqF8nx6he584D,450.00,0.00
wj8rZJ9fpkHaMR2yU3Pjq5GSacumMqxqf4jw2rHZZkZ,3qRtvSwSbGQ8oK66NYqTLNXQhCrj9GsdRAtbBBD1CVuV,425.79,0.00
5bJjhR492DjHUkQLRzmzCzJuxHTZkGk4vYDN3gPKXAMQ,8nftrYAMgdbaB9wa6yqEFeGNgGcnAWszgrmfgJPVm4hV,415.61,0.00
Avh2zDG2LVzX5zFKZ2WEdGXkjvuFWWsefbZNumu7QHGU,GzC2RRjcpENmgDwDSgLebVQ4okA5dhmnYxg84BqxkjCX,400.00,0.00
2dBWhhpStkUHyWd8SH5HasAhtAbtdXRNzKm2ofKbFWZA,9YRN9kMCZidaB4KGPwucoB7u5m3aAC17EnmHNkbDgh7F,376.00,0.00
39DXh6ixjnhbTiHXco66NfDPLGabMJNMPaGX74bcmamB,265hPBfYcCFGc5x9AFAfq6yY6wC2WTG9MjKUbMPM1ogj,373.40,0.00
8UB7npYN1V1ZcCce99jfcSgsjzmiSPg2syW4C7wjJjCv,3AvZfKTAzRZv7FwyC47B1oa2C98Zst1qx68rfhqLeCcw,362.81,0.00
EL288J3qW7fcfzfUiwEo1eWmYon8dBCKmmdZNnF8hEgp,E3Exy4uh8jBAfvktWPyPCcTVmABKRAbcUmp4ArQQZPgx,354.67,0.00
